FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.217,POINT (16.4600898998687 48.19802015031095),Dampfkraftwerk Donaustadt,220
HALTESTELLEWLOGD.218,POINT (16.432229898673715 48.217110150581824),Dampfschiffhaufen,221
HALTESTELLEWLOGD.219,POINT (16.488719899543913 48.208720150686574),Danzergasse,222
HALTESTELLEWLOGD.220,POINT (16.530269899223235 48.24435015090021),Daphneweg,223
HALTESTELLEWLOGD.221,POINT (16.334909898199665 48.246600150882514),Daringergasse,224
HALTESTELLEWLOGD.222,POINT (16.356469899348667 48.17543015047369),Knöllgasse/Davidgasse,225
HALTESTELLEWLOGD.223,POINT (16.543199899471592 48.21686015057034),Deindorfstraße,226
HALTESTELLEWLOGD.224,POINT (16.27983989901805 48.15830015001635),Deißenhofergasse,227
HALTESTELLEWLOGD.225,POINT (16.35859989857909 48.13965015084058),Laxenburger Str/Heizwerkstr,228
HALTESTELLEWLOGD.226,POINT (16.36866989922139 48.23931015020074),Dietmayrgasse,229
HALTESTELLEWLOGD.227,POINT (16.37955989906719 48.292650150339036),Dirnelwiese,230
HALTESTELLEWLOGD.228,POINT (16.331729898667003 48.14355015045007),Dobrowskygasse,231
HALTESTELLEWLOGD.229,POINT (16.43818989852109 48.25948015044776),Doeltergasse,232
HALTESTELLEWLOGD.230,POINT (16.29861989920945 48.18646015046992),Dommayergasse,233
HALTESTELLEWLOGD.231,POINT (16.410979899342443 48.229000150479926),Donauinsel,234
HALTESTELLEWLOGD.232,POINT (16.38773989955059 48.248560150653866),Floridsdorfer Brücke,235
HALTESTELLEWLOGD.233,POINT (16.44368989961649 48.233680150618596),Donaustadtstraße,236
HALTESTELLEWLOGD.234,POINT (16.34596989843511 48.28455015076641),Donauwarte,237
HALTESTELLEWLOGD.235,POINT (16.434549899694826 48.24186015104918),Donauzentrum,238
HALTESTELLEWLOGD.236,POINT (16.43875989929716 48.269250150673685),Dopschstraße,239
HALTESTELLEWLOGD.237,POINT (16.296179899252984 48.164530150734315),Dorfmeistergasse,240
HALTESTELLEWLOGD.238,POINT (16.301879898388492 48.228160150535324),Dornbacher Straße,241
HALTESTELLEWLOGD.239,POINT (16.263559898510163 48.15973015057747),Dostalgasse,242
HALTESTELLEWLOGD.240,POINT (16.25315989897049 48.220170150097324),Dostgasse,243
HALTESTELLEWLOGD.241,POINT (16.370229899087064 48.24588015020491),Dr.-Adolf-Schärf-Heim,244
HALTESTELLEWLOGD.242,POINT (16.380379899085245 48.207120150801885),Stubentor,245
HALTESTELLEWLOGD.243,POINT (16.359859899292296 48.206800150808824),Dr.-Karl-Renner-Ring,246
HALTESTELLEWLOGD.244,POINT (16.288099898387962 48.138070150769956),Dr.-Neumann-Gasse,247
HALTESTELLEWLOGD.245,POINT (16.272359898200936 48.166750150616046),Dr.-Schober-Straße,248
HALTESTELLEWLOGD.246,POINT (16.438219898958796 48.28548015091853),Draugasse,249
HALTESTELLEWLOGD.247,POINT (16.38892989942951 48.26003015100596),Dunantgasse,250
HALTESTELLEWLOGD.248,POINT (16.334519899451962 48.237100150122544),Dänenstraße,251
HALTESTELLEWLOGD.249,POINT (16.357109898889263 48.25115015091901),Döblinger Bad,252
HALTESTELLEWLOGD.250,POINT (16.32933989863552 48.23912015041442),Döblinger Friedhof,253
HALTESTELLEWLOGD.251,POINT (16.365399898734186 48.24077015024604),Döblinger Steg,254
HALTESTELLEWLOGD.252,POINT (16.534069899682038 48.222400150731566),Dörmanngasse,255
HALTESTELLEWLOGD.253,POINT (16.430739898949152 48.184890150357084),E-Werk,256
HALTESTELLEWLOGD.254,POINT (16.28008989876157 48.15474015043874),Eberstorferweg,257
HALTESTELLEWLOGD.255,POINT (16.42559989905968 48.262290150707784),Edelsteingasse,258
HALTESTELLEWLOGD.256,POINT (16.246329898731958 48.21481014998533),Edenstraße,259
HALTESTELLEWLOGD.257,POINT (16.38614989826224 48.290930150806574),Edmund-Hawranek-Platz,260
HALTESTELLEWLOGD.258,POINT (16.303639898430426 48.13671015076433),Eduard-Kittenberger-Gasse,261
HALTESTELLEWLOGD.259,POINT (16.32046989932712 48.219280150066574),Albrechtskreithgasse,262
HALTESTELLEWLOGD.260,POINT (16.436359898965357 48.27392015092174),Egon-Friedell-Gasse,263
HALTESTELLEWLOGD.261,POINT (16.337429899013813 48.171030150394635),Eibesbrunnergasse,264
HALTESTELLEWLOGD.262,POINT (16.476579899373423 48.24463015061341),Eibischweg,265
HALTESTELLEWLOGD.263,POINT (16.247369898381695 48.221630150297365),Eichbachgasse,266
HALTESTELLEWLOGD.264,POINT (16.349619899165468 48.180350150038954),Eichenstraße,267
HALTESTELLEWLOGD.265,POINT (16.26426989875327 48.183210150703694),Einsiedeleigasse,268
HALTESTELLEWLOGD.266,POINT (16.34947989941191 48.18526015081039),Einsiedlerplatz,269
HALTESTELLEWLOGD.267,POINT (16.450979899294893 48.159050150243765),Luzegasse,270
HALTESTELLEWLOGD.268,POINT (16.43613989878208 48.263080151029065),Eipeldauerstraße,271
HALTESTELLEWLOGD.269,POINT (16.3845698997233 48.169400150867226),Eisenstadtplatz,272
HALTESTELLEWLOGD.270,POINT (16.44086989868546 48.21784015067228),Eisstoßgasse,273
HALTESTELLEWLOGD.271,POINT (16.41224989959448 48.21794015082523),Elderschplatz,274
HALTESTELLEWLOGD.272,POINT (16.254409898576036 48.21848015037552),Elsbeergasse,275
HALTESTELLEWLOGD.273,POINT (16.331149899267302 48.218150150516315),Elterleinplatz,276
HALTESTELLEWLOGD.274,POINT (16.352409898998708 48.18271015046547),Embelgasse,277
HALTESTELLEWLOGD.275,POINT (16.290919899398283 48.15304015056225),Endemanngasse,278
HALTESTELLEWLOGD.276,POINT (16.39264989846409 48.23343015049983),Engerthstraße/Innstraße,279
HALTESTELLEWLOGD.277,POINT (16.389229898431907 48.23633015083206),Engerthstraße/Traisengasse,280
HALTESTELLEWLOGD.278,POINT (16.535999900074295 48.20992015092761),Englisch-Feld-Gasse,281
HALTESTELLEWLOGD.279,POINT (16.43124989970455 48.206270150527295),Donaumarina,282
HALTESTELLEWLOGD.280,POINT (16.40794989923854 48.19528015088215),Erdbergstr/Schlachthausgasse,283
HALTESTELLEWLOGD.281,POINT (16.306159899384657 48.21440015043258),Ottakringer Str/Erdbrustgasse,284
HALTESTELLEWLOGD.282,POINT (16.316759898774983 48.14134015014012),Erlaaer Straße,285
HALTESTELLEWLOGD.283,POINT (16.369329898859213 48.17863015016665),Erlachplatz,286
HALTESTELLEWLOGD.284,POINT (16.322659898989155 48.23733015070966),Erndtgasse,287
HALTESTELLEWLOGD.285,POINT (16.453309899280445 48.229580150384464),Erzherzog-Karl-Straße,288
HALTESTELLEWLOGD.286,POINT (16.41449989876017 48.19103015017386),Erdberg,289
